iter	Passed	Remaining
0	1	97
1	2	94
2	3	88
3	4	79
4	5	81
5	6	82
6	7	83
7	9	84
8	10	83
9	11	83
10	13	81
11	14	80
12	15	80
13	16	79
14	18	78
15	19	77
16	20	76
17	21	75
18	23	73
19	24	73
20	25	72
21	27	71
22	28	70
23	29	69
24	30	68
25	32	66
26	33	65
27	34	63
28	35	63
29	37	62
30	38	61
31	39	59
32	41	58
33	42	57
34	43	55
35	44	54
36	45	53
37	46	51
38	48	50
39	49	49
40	50	48
41	51	46
42	53	46
43	54	44
44	56	43
45	57	42
46	58	41
47	59	39
48	60	38
49	62	37
50	63	36
51	65	35
52	66	33
53	67	32
54	67	30
55	69	29
56	70	28
57	71	27
58	72	25
59	73	24
60	75	23
61	76	22
62	77	21
63	79	19
64	80	18
65	81	17
66	82	16
67	83	14
68	84	13
69	85	12
70	86	11
71	88	9
72	89	8
73	91	7
74	92	6
75	93	4
76	94	3
77	95	2
78	96	1
79	98	0
